"set_counts.year","set_counts.station","set_counts.lat","set_counts.lon","set_counts.E_it","set_counts.N_it","set_counts.C_it","set_counts.E_it20","set_counts.N_it20","set_counts.C_it20","set_counts.usable"
1997,"10217",51.3998333333333,-129.699166666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10218",52.00025,-128.79975,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10219",51.9833333333333,-128.550666666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10220",51.9331666666667,-128.66875,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10221",51.8336666666667,-128.667416666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10222",51.9669166666667,-129.332583333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10223",51.8666666666667,-129.33375,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10224",51.8,-129.199916666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10225",51.7995,-129.4675,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10226",51.9924166666667,-129.864666666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10227",52,-130.1315,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10228",51.93325,-130.002166666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10229",51.8336666666667,-130.002833333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10230",51.8,-130.5335,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10231",52.3666666666667,-129.367583333333,NA,NA,NA,1.2045783373494,10,8.301660166,"Y"
1997,"10232",52.26675,-129.333416666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10233",52.1999166666667,-129.19925,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10234",52.1998333333333,-129.468,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10235",52.39975,-129.867833333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10236",52.233,-130.000333333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10237",51.43325,-129.167083333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10238",51.39975,-129.965666666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11011",52.1669166666667,-131.402583333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11012",52.10025,-131.332666666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11013",52.00025,-131.147416666667,NA,NA,NA,1.2045783373494,1,0.8301660166,"Y"
1997,"11014",51.9998333333333,-131.268416666667,NA,NA,NA,1.19454018453815,0,0,"Y"
1997,"11211",51.967,-130.6665,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11212",51.86675,-130.66525,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11213",51.7999166666667,-130.799416666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11214",52.3999166666667,-130.13425,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11215",52.3333333333333,-130,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11216",52.3669166666667,-130.666333333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11217",52.2665833333333,-130.6665,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11218",52.2004166666667,-130.7995,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11219",52.2000833333333,-130.532416666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"11220",52.8,-129.868166666667,NA,NA,NA,1.20465111627907,0,0,"Y"
1997,"11221",52.80075,-130.139166666667,NA,NA,NA,1.20452380952381,0,0,"Y"
1997,"11222",52.7333333333333,-130.002833333333,NA,NA,NA,1.20463417073171,0,0,"Y"
1997,"11223",52.6335833333333,-130.000583333333,NA,NA,NA,1.18444841269841,0,0,"Y"
1997,"11224",52.7665,-130.6685,NA,NA,NA,1.21461649016064,0,0,"Y"
